zona,SUM de PrecioActual,,habitaciones,COUNTA de titulo,,,COUNTA de titulo,zona,,,,,,,,,,,,,,,,,,,,
arganzuela,€182.141.969,,1,"14,44%",,,provincia,arganzuela,barajas,barrio-de-salamanca,carabanchel,centro,chamartin,chamberi,ciudad-lineal,fuencarral,hortaleza,latina,moncloa,moratalaz,puente-de-vallecas,retiro,san-blas,tetuan,usera,vicalvaro,villa-de-vallecas,villaverde
,,,,"Ático en avenida del Ensanche de Vallecas, 78, Ensanche de Vallecas - La Gavia, Madrid",€575.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida del Ensanche de Vallecas, Ensanche de Vallecas - La Gavia, Madrid",€980.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida del Manzanares, Comillas, Madrid",€600.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida del Manzanares, Moscardó, Madrid",€229.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida del Mediterráneo, Estrella, Madrid",€920.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida del Mediterráneo, Pacífico, Madrid",€850.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida del Planetario, 34, Legazpi, Madrid",€580.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida del Talgo, 127, Aravaca, Madrid",€750.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida Juan Antonio Samaranch, s/n, Valdebebas - Valdefuentes, Madrid",€1.783.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida Provisional Ahijones Nueve, 90, Los Ahijones, Madrid",€586.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida Real de Pinto, Villaverde Alto, Madrid",€346.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en avenida Séptima, Rejas, Madrid",€725.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Bellas Vistas, Madrid",€219.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Bernabéu-Hispanoamérica, Madrid",€2.330.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Berruguete, Madrid",€545.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Butarque, Madrid",€339.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Alameda del Valle, 27, Ensanche de Vallecas - La Gavia, Madrid",€610.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Alejandro Sánchez, 100 b, Opañel, Madrid",€240.000,,,,,,,,,,,,,,,,,,,,,,,
