zona,SUM de PrecioActual,,habitaciones,COUNTA de titulo,,,COUNTA de titulo,zona,,,,,,,,,,,,,,,,,,,,
arganzuela,€182.141.969,,1,"14,44%",,,provincia,arganzuela,barajas,barrio-de-salamanca,carabanchel,centro,chamartin,chamberi,ciudad-lineal,fuencarral,hortaleza,latina,moncloa,moratalaz,puente-de-vallecas,retiro,san-blas,tetuan,usera,vicalvaro,villa-de-vallecas,villaverde
,,,,"Dúplex en calle del Camino de los Vinateros, 11, Media Legua, Madrid",€1.350.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle del Espíritu Santo, Malasaña-Universidad, Madrid",€320.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle del General Palanca, Delicias, Madrid",€316.990,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle del Gorrión, San Isidro, Madrid",€820.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle del Hachero, San Diego, Madrid",€175.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle del Luis de Oro, Pau de Carabanchel, Madrid",€643.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle del Maravedí, 10, Pau de Carabanchel, Madrid",€595.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle del Marqués de Jura Real, 9, Comillas, Madrid",€550.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle del Marqués de Leis, Cuzco-Castillejos, Madrid",€199.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle del Marqués de Monteagudo, Guindalera, Madrid",€830.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle del Nenúfar, Berruguete, Madrid",€279.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle del Padre Oltra, Comillas, Madrid",€250.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle del Padre Rubio, Ventilla-Almenara, Madrid",€380.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle del Pico Cejo, Numancia, Madrid",€218.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle del Poeta Joan Maragall, Cuatro Caminos, Madrid",€2.875.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle del Príncipe de Vergara, El Viso, Madrid",€1.190.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle del Valle de Enmedio, Arroyo del Fresno, Madrid",€1.020.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Divino Vallés, Chopera, Madrid",€249.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Doctor Guiu, 57, Peñagrande, Madrid",€2.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Esteban de Arteaga, 4, Comillas, Madrid",€339.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Guadarrama, 22, Puerta del Ángel, Madrid",€860.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Gustavo Pérez Puig, s/n, Valdebebas - Valdefuentes, Madrid",€1.023.450,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Javier Ferrero, 1, Ciudad Jardín, Madrid",€6.671.330,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Jordi Solé Tura, Valdebebas - Valdefuentes, Madrid",€1.030.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Laguna del Marquesado, 11, Villaverde Alto, Madrid",€180.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Leonor González, Numancia, Madrid",€155.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle López de Aranda, 6, Quintana, Madrid",€835.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Magdalena, Lavapiés-Embajadores, Madrid",€599.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Miramadrid, Pradolongo, Madrid",€270.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Narváez, 30, Ibiza, Madrid",€1.270.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Navas del Rey, Puerta del Ángel, Madrid",€350.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Nogales, Acacias, Madrid",€1.000.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Paulina Odiaga, Madrid, s/n, San Isidro, Madrid",€180.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Potasa, Butarque, Madrid",€169.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Puentecillo, Canillas, Madrid",€696.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Ruiz Palacios, 28, Berruguete, Madrid",€275.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle San Delfín, Comillas, Madrid",€335.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle san francisco de sales, Vallehermoso, Madrid",€1.023.740,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle San Martín de Porres, Ciudad Universitaria, Madrid",€582.600,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle San Sinforiano, 4, Casco Histórico de Barajas, Madrid",€388.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Tablada, s/n, Berruguete, Madrid",€275.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Teniente Muñoz Díaz, 7, Palomeras Bajas, Madrid",€275.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Tineo, Ensanche de Vallecas - La Gavia, Madrid",€229.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en calle Velázquez, Castellana, Madrid",€2.750.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en camino de Perales, San Fermín, Madrid",€690.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Canteras de Tilly, 19, Casco Histórico de Vicálvaro, Madrid",€749.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en carretera Fuencarral a Alcobendas, Las Tablas, Madrid",€395.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Casco Histórico de Vallecas, Madrid",€500.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Castellana, Madrid",€7.350.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Chueca-Justicia, Madrid",€6.000.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Colina, Madrid",€3.550.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Concepción, Madrid",€1.020.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Costillares, Madrid",€1.395.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Cuatro Caminos, Madrid",€2.290.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en de Canillas, 102, Prosperidad, Madrid",€560.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en doctor arce, El Viso, Madrid",€3.800.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en El Viso, Madrid",€17.490.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Filosofa Simone Well, 10, Numancia, Madrid",€335.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Fontarrón, Madrid",€400.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Gloria Fuertes, 59, Arroyo del Fresno, Madrid",€1.398.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en glorieta del General Álvarez de Castro, 3, Trafalgar, Madrid",€425.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Gomez de Arteche, 27, Buena Vista, Madrid",€280.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Goya, Madrid",€1.195.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Hernán Cortés, s/n, Chueca-Justicia, Madrid",€520.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Huertas-Cortes, Madrid",€735.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Jerónimos, Madrid",€7.100.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Lavapiés-Embajadores, Madrid",€1.695.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Lista, Madrid",€1.850.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Los Cármenes, Madrid",€295.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Madre Teresa de Calcuta, Arroyo del Fresno, Madrid",€1.225.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Malasaña-Universidad, Madrid",€2.070.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Marcelino Alvarez, s/n, Ventas, Madrid",€1.335.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Matías Turrión, 26, Canillas, Madrid",€1.750.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Media Legua, Madrid",€399.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Mirasierra, Madrid",€5.966.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Moscardó, Madrid",€360.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Nanclares de Oca, Rejas, Madrid",€290.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Niño Jesús, Madrid",€1.499.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Nueva España, Madrid",€5.650.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Opañel, Madrid",€1.082.800,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Orquideas, 11, Valdeacederas, Madrid",€399.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Pacífico, Madrid",€990.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Palacio, Madrid",€2.590.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Palos de la Frontera, Madrid",€630.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en paseo de La Habana, Bernabéu-Hispanoamérica, Madrid",€19.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en paseo de La Habana, El Viso, Madrid",€995.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en paseo de las Delicias, 42, Palos de la Frontera, Madrid",€1.496.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en paseo de San Francisco de Sales, 15, Vallehermoso, Madrid",€1.956.130,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en paseo de San Francisco de Sales, Vallehermoso, Madrid",€5.992.560,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en paseo del Marqués de Zafra, Fuente del Berro, Madrid",€585.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en paseo del Prado, Jerónimos, Madrid",€1.399.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en paseo San Francisco de Sales, Vallehermoso, Madrid",€1.956.130,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Pau de Carabanchel, Madrid",€195.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Peñagrande, Madrid",€1.990.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Pilar, Madrid",€251.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en plaza de los Reyes Magos, Niño Jesús, Madrid",€1.499.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en plaza de Tirso de Molina, Lavapiés-Embajadores, Madrid",€1.250.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en plaza del Alcalde Moreno Torres, Sanchinarro, Madrid",€950.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en plaza Gran Vía, Sol, Madrid",€1.600.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en plaza Marqués de Salamanca, 11, Lista, Madrid",€13.090.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Portazgo, Madrid",€299.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Pradolongo, Madrid",€545.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Prosperidad, Madrid",€3.800.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Quintana, Madrid",€380.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Recoletos, Madrid",€3.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Rejas, Madrid",€1.947.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Ricardo Damas, 9, Legazpi, Madrid",€1.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Robles, 1, San Diego, Madrid",€1.329.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en ronda de Atocha, Palos de la Frontera, Madrid",€630.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en San Dimas, 10, Malasaña-Universidad, Madrid",€525.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en San Juan Bautista, Madrid",€1.250.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en San Marcos, Sol, Madrid",€1.120.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en San Sinforiano, 4, Casco Histórico de Barajas, Madrid",€731.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Sanchinarro, Madrid",€1.120.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Simancas, Madrid",€420.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Sol, Madrid",€876.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Timón, Madrid",€520.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en travesía de Humanes, 41, Portazgo, Madrid",€350.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en travesía Huerta del Obispo, Berruguete, Madrid",€239.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Ulises, Canillas, Madrid",€470.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Valdebebas - Valdefuentes, Madrid",€2.025.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Valdemarín, Madrid",€5.405.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en via Gran Vía, Malasaña-Universidad, Madrid",€3.700.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Villaverde Alto, Madrid",€607.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Virgen de los Peligros, 9, Sol, Madrid",€2.250.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Dúplex en Vista Alegre, Madrid",€540.990,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en 12 de Octubre-Orcasur, Madrid",€229.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en A-4, Butarque, Madrid",€230.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Abella, Buena Vista, Madrid",€175.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Abrantes, Madrid",€1.590.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Abtao, 40, Pacífico, Madrid",€495.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Acacias, Madrid",€1.089.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en acceso Parque de la Elipa, Media Legua, Madrid",€357.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Adelfas, Madrid",€4.270.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Adelfas, Retiro, 36, Adelfas, Madrid",€365.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Águilas, Madrid",€597.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Alameda de Osuna, Madrid",€2.165.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en alameda del Valle, 27, Ensanche de Vallecas - La Gavia, Madrid",€1.883.600,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en alameda del Valle, Ensanche de Vallecas - La Gavia, Madrid",€765.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Alberto Alcocer, Nueva España, Madrid",€3.000.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Alcalá de Guadaira, 41, Palomeras Bajas, Madrid",€215.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Alcalde Henche De La Plata, Sanchinarro, Madrid",€490.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Almagro, Madrid",€250.968.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Almendrales, Madrid",€385.740,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Alonso Cano, 68, Nuevos Ministerios-Ríos Rosas, Madrid",€4.632.310,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Aluche, Madrid",€3.436.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Alvarado, 22, Bellas Vistas, Madrid",€290.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Ambroz, Madrid",€192.260,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Amposta, Madrid",€1.110.259,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Antonia Ruiz Soro, 16, Guindalera, Madrid",€1.630.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Antonio López, 67, Comillas, Madrid",€555.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Antonio Pérez, 24, El Viso, Madrid",€1.650.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en antonio ponz, 1, Pueblo Nuevo, Madrid",€154.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Apóstol Santiago, Madrid",€1.801.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Arapiles, Madrid",€12.624.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Aravaca, Madrid",€7.969.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Arces, Palomas, Madrid",€795.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Arcos, Madrid",€988.260,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Argüelles, Madrid",€50.697.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Arroyo belincoso, 26, Marroquina, Madrid",€250.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Arroyo Bueno, 1, Villaverde Alto, Madrid",€1.712.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en Arroyo del Cañaveral, 127, El Cañaveral, Madrid",€3.294.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida Avenue Avenue de Badajoz, 25, San Pascual, Madrid",€535.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida Avenue de Ramón y Cajal, 81, Bernabéu-Hispanoamérica, Madrid",€449.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida Canillejas, Arcos, Madrid",€280.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida Cerro de los Ángeles, Zofío, Madrid",€189.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Abrantes, 54, Abrantes, Madrid",€360.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Abrantes, Abrantes, Madrid",€729.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Alberto de Alcocer, Bernabéu-Hispanoamérica, Madrid",€990.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Alberto de Alcocer, Nueva España, Madrid",€1.050.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Alfonso XIII, Bernabéu-Hispanoamérica, Madrid",€449.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Alfonso XIII, Ciudad Jardín, Madrid",€1.250.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de América, 33, Prosperidad, Madrid",€975.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de América, 37, Prosperidad, Madrid",€2.345.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de América, Guindalera, Madrid",€685.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de América, Prosperidad, Madrid",€7.783.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Andalucia, 12 de Octubre-Orcasur, Madrid",€335.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Badajoz, 23, San Pascual, Madrid",€580.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Barranquilla, 11, Pinar del Rey, Madrid",€432.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Baviera, Guindalera, Madrid",€1.450.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Betanzos, 64, Pilar, Madrid",€600.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Betanzos, Pilar, Madrid",€1.473.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Brasilia, 21, Guindalera, Madrid",€635.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Brasilia, Guindalera, Madrid",€840.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Bruselas, 75, Guindalera, Madrid",€950.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Bruselas, Guindalera, Madrid",€3.217.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Buenos Aires, 62, Palomeras Bajas, Madrid",€178.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Buenos Aires, Palomeras Bajas, Madrid",€91.400,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Burgos, 16, Castilla, Madrid",€675.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Burgos, 20, Castilla, Madrid",€680.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Burgos, 28, Castilla, Madrid",€540.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Burgos, 34, Castilla, Madrid",€330.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Burgos, 41, Castilla, Madrid",€925.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Burgos, Castilla, Madrid",€5.397.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Canillejas a Vicálvaro, Rosas, Madrid",€355.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Carabanchel Alto, 25, Buena Vista, Madrid",€260.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Carabanchel Alto, Buena Vista, Madrid",€837.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Concha Espina, 11, Bernabéu-Hispanoamérica, Madrid",€999.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Concha Espina, 12, El Viso, Madrid",€1.300.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Concha Espina, 35, El Viso, Madrid",€790.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Concha Espina, Bernabéu-Hispanoamérica, Madrid",€3.550.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Concha Espina, El Viso, Madrid",€8.050.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Córdoba, Almendrales, Madrid",€235.750,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Entrevías, 96, Entrevías, Madrid",€270.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Entrevías, Entrevías, Madrid",€200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Europa, 32, Aravaca, Madrid",€1.305.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Filipinas, Vallehermoso, Madrid",€820.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de francisco pi y margall, 7, Sanchinarro, Madrid",€730.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Francisco Pi y Margall, 86, Sanchinarro, Madrid",€780.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Francisco Pi y Margall, Sanchinarro, Madrid",€575.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Guadalajara, 97, Arcos, Madrid",€220.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Guadalajara, Arcos, Madrid",€1.020.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de Guadalajara, Rosas, Madrid",€434.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de José Antonio Corrales, 13, Valdebebas - Valdefuentes, Madrid",€1.150.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de la Albufera, Numancia, Madrid",€351.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de la Albufera, Palomeras Bajas, Madrid",€205.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de la Aviación, 34, Cuatro Vientos, Madrid",€550.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de la Aviación, Cuatro Vientos, Madrid",€280.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de la Aviación, Pau de Carabanchel, Madrid",€597.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de la Ciudad de Barcelona, 110, Pacífico, Madrid",€570.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de la Ciudad de Barcelona, 134, Pacífico, Madrid",€740.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de la Ciudad de Barcelona, 138, Pacífico, Madrid",€640.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de la Ciudad de Barcelona, Adelfas, Madrid",€1.640.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de la Ciudad de Barcelona, Pacífico, Madrid",€1.565.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de la Emperatriz Isabel, San Isidro, Madrid",€543.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de la Gavia, 14, Ensanche de Vallecas - La Gavia, Madrid",€298.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Piso en avenida de la Gavia, 39, Ensanche de Vallecas - La Gavia, Madrid",€260.000,,,,,,,,,,,,,,,,,,,,,,,
